Subject: OKS001,,,,,,,,,,
,,,,,,,,,,
Section,Subject,Tissue,Label,Voxels,Vol (cm³),mua (mm^-1),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed
,,,,,,,,,,
Section,Subject,Group,Total Voxels,Total Vol (cm³),Mean Fluence Rate (mW/cm²),Max Fluence Rate (mW/cm²),Absorbed Power (mW),% of Total Absorbed,,
Group,OKS009,Bone,404165,404.165,7.13E-01,3.29E+03,37.454144,37.1055,,
Group,OKS009,Cartilage,24523,24.523,3.22E+00,2.16E+03,3.945763,3.909,,
Group,OKS009,Meniscus,5202,5.202,6.27E-01,8.76E+00,0.19576,0.1939,,
Group,OKS009,Synovial,31955,31.955,3.08E+00,2.83E+03,0.19696,0.1951,,
Group,OKS009,Muscle,548064,548.064,5.69E-01,2.29E+02,56.128784,55.6063,,
Group,OKS009,Adipose,312095,312.095,1.56E-01,1.68E+01,2.777277,2.7514,,
Group,OKS009,Skin,111993,111.993,4.68E-02,5.33E+00,0.240869,0.2386,,
Group,OKS009,TOTAL,1437997,1437.997,,,100.939552,100,,
,,,,,,,,,,
Power,OKS009,Sources: 3,Power per source: 37.5 mW (avg),Total input: 112.5 mW,Total absorbed: 100.9396 mW,Absorption ratio: 89.72%,,,,
,,,,,,,,,,
Section,Subject,Group,Mean Fluence Rate (mW/cm²),Dose @ 300s (J/cm²),Dose @ 600s (J/cm²),Dose @ 900s (J/cm²),Therapeutic Goal: (1-4 J/cm²),,,
Dose,OKS009,Bone,7.13E-01,0.2139,0.4278,0.6417,,,,
Dose,OKS009,Cartilage,3.22E+00,0.9654,1.9308,2.8962,,,,
Dose,OKS009,Meniscus,6.27E-01,0.1882,0.3764,0.5646,,,,
Dose,OKS009,Synovial,3.08E+00,0.9246,1.8492,2.7738,,,,
Dose,OKS009,Muscle,5.69E-01,0.1707,0.3414,0.5121,,,,
Dose,OKS009,Adipose,1.56E-01,0.0468,0.0936,0.1404,,,,
Dose,OKS009,Skin,4.68E-02,0.014,0.028,0.042,,,,
,,,,,,,,,,
----------------------------------------,,,,,,,,,,
